android/view/ViewConfiguration.<init>, inclusiveCpuTime:1709, inclusiveRealTime:2472, call times:1, cpuTime:1709/call, realTime:2472/call
com/tencent/mqq/shared_file_accessor/a.d, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
java/io/ByteArrayOutputStream.toByteArray, inclusiveCpuTime:5374, inclusiveRealTime:5123, call times:377, cpuTime:14/call, realTime:13/call
java/nio/Buffer.position, inclusiveCpuTime:3351, inclusiveRealTime:3513, call times:800, cpuTime:4/call, realTime:4/call
com/tencent/mobileqq/emosm/Client$onRemoteRespObserver.<init>, inclusiveCpuTime:61, inclusiveRealTime:62, call times:8, cpuTime:7/call, realTime:7/call
java/util/concurrent/locks/AbstractQueuedSynchronizer.enq, inclusiveCpuTime:183, inclusiveRealTime:183, call times:3, cpuTime:61/call, realTime:61/call
android/webkit/WebViewClassic.access$600, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
java/text/NumberFormat.getInstance, inclusiveCpuTime:26610, inclusiveRealTime:27707, call times:30, cpuTime:887/call, realTime:923/call
android/view/ViewTreeObserver$CopyOnWriteArray.remove, inclusiveCpuTime:305, inclusiveRealTime:305, call times:4, cpuTime:76/call, realTime:76/call
android/view/GLES20Canvas.save, inclusiveCpuTime:245, inclusiveRealTime:243, call times:9, cpuTime:27/call, realTime:27/call
java/lang/String.startsWith, inclusiveCpuTime:4058, inclusiveRealTime:4180, call times:266, cpuTime:15/call, realTime:15/call
java/util/concurrent/locks/AbstractQueuedSynchronizer.findNodeFromTail, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
com/tencent/biz/AuthorizeConfig$1.run, inclusiveCpuTime:91245, inclusiveRealTime:167786, call times:15, cpuTime:6083/call, realTime:11185/call
com/tencent/theme/SkinEngine.a, inclusiveCpuTime:17028, inclusiveRealTime:17061, call times:7, cpuTime:2432/call, realTime:2437/call
java/util/TimeZone.getDefault, inclusiveCpuTime:1313, inclusiveRealTime:1408, call times:33, cpuTime:39/call, realTime:42/call
java/text/NumberFormat.getInstance, inclusiveCpuTime:24445, inclusiveRealTime:25667, call times:30, cpuTime:814/call, realTime:855/call
android/view/ViewRootImpl$RunQueue.<init>, inclusiveCpuTime:31, inclusiveRealTime:30, call times:1, cpuTime:31/call, realTime:30/call
android/graphics/drawable/Drawable.createFromResourceStream, inclusiveCpuTime:60487, inclusiveRealTime:69091, call times:9, cpuTime:6720/call, realTime:7676/call
android/net/Uri$StringUri.getEncodedQuery, inclusiveCpuTime:2321, inclusiveRealTime:2288, call times:11, cpuTime:211/call, realTime:208/call
oicq/wlogin_sdk/tools/util.get_apk_v, inclusiveCpuTime:2442, inclusiveRealTime:2899, call times:1, cpuTime:2442/call, realTime:2899/call
com/tencent/feedback/proguard/w.f, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
java/util/Formatter$FormatSpecifierParser.nextInt, inclusiveCpuTime:245, inclusiveRealTime:244, call times:4, cpuTime:61/call, realTime:61/call
android/net/wifi/WifiSsid$1.<init>, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
com/tencent/feedback/proguard/w.j, inclusiveCpuTime:0, inclusiveRealTime:31, call times:1, cpuTime:0/call, realTime:31/call
java/io/File.mkdirs, inclusiveCpuTime:5251, inclusiveRealTime:5340, call times:26, cpuTime:201/call, realTime:205/call
android/webkit/WebViewClassic.setWebViewClient, inclusiveCpuTime:31, inclusiveRealTime:30, call times:1, cpuTime:31/call, realTime:30/call
android/view/GLES20Canvas.nClipRect, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
java/util/concurrent/ScheduledThreadPoolExecutor$ScheduledFutureTask.compareTo, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
android/database/CursorWindow.nativeGetNumRows, inclusiveCpuTime:244, inclusiveRealTime:212, call times:47, cpuTime:5/call, realTime:4/call
com/tencent/biz/webviewplugin/KeyInfo$2.<init>, inclusiveCpuTime:0, inclusiveRealTime:0, call times:1, cpuTime:0/call, realTime:0/call
android/graphics/drawable/Drawable.drawableFromBitmap, inclusiveCpuTime:3082, inclusiveRealTime:3113, call times:9, cpuTime:342/call, realTime:345/call
java/lang/String.split, inclusiveCpuTime:7206, inclusiveRealTime:7414, call times:22, cpuTime:327/call, realTime:337/call
java/util/TreeMap.<init>, inclusiveCpuTime:61, inclusiveRealTime:62, call times:3, cpuTime:20/call, realTime:20/call
android/view/Choreographer.postCallbackDelayed, inclusiveCpuTime:2137, inclusiveRealTime:2320, call times:14, cpuTime:152/call, realTime:165/call
com/android/internal/telephony/IPhoneSubInfo$Stub.asInterface, inclusiveCpuTime:396, inclusiveRealTime:367, call times:8, cpuTime:49/call, realTime:45/call
com/tencent/smtt/sdk/TbsDownloadConfig.getDownloadMinFreeSpace, inclusiveCpuTime:5402, inclusiveRealTime:10498, call times:1, cpuTime:5402/call, realTime:10498/call
android/view/ViewConfiguration.get, inclusiveCpuTime:4087, inclusiveRealTime:4817, call times:41, cpuTime:99/call, realTime:117/call
java/util/Formatter$FormatSpecifierParser.<init>, inclusiveCpuTime:153, inclusiveRealTime:152, call times:10, cpuTime:15/call, realTime:15/call
com/tencent/theme/SkinEngine.addDrawableResource, inclusiveCpuTime:763, inclusiveRealTime:763, call times:2, cpuTime:381/call, realTime:381/call
android/app/ApplicationPackageManager.getPackageInfo, inclusiveCpuTime:18830, inclusiveRealTime:26734, call times:11, cpuTime:1711/call, realTime:2430/call
